Дата;Базовый уровень;Изменение кол-ва магазинов;Развитие ecom;Уход конкурентов;Мобилизация;Скидки;COVID;Черная пятница;Площадь магазинов;Праздничные открытия;Праздничные открытия - блогеры;Изменение цен;SMS;Реклама GJ;Реклама конкурентов;COVID - Самоизоляция и закрытие магазинов;Отложенный спрос после самоизоляции
2023_40;1544960,059;426817,7596;-715342,2417;330914,4234;0;147165,2499;-152667,1041;0;2366,311506;35280,8421;15826,62904;-657738,6869;4979,043474;17556,2085;-152441,9113;0;0
2023_41;1744184,528;478463,0709;-806355,4123;373016,7474;0;162067,6069;-172090,9775;0;2681,752886;16038,02943;11596,16573;-785280,2443;2802,297746;22286,4149;-161655,5409;0;0
2023_42;1715366,856;467220,5445;-791821,9533;366293,6282;0;183504,8909;-168989,2719;0;2646,59604;11088,19116;7401,654406;-747443,26;1,16223E-08;31426,89313;-191714,7724;0;0
2023_43;1493344,357;403842,1511;-688281,2236;318396,106;0;172600,5031;-146891,7884;0;2298,153675;15783,88212;4181,966444;-643936,8424;1,01025E-08;34746,04711;-170316,0759;0;0
2023_44;1421073,136;384297,9881;-654971,4753;302987,1514;0;192779,7334;-139782,8795;0;2199,601667;16189,65083;2586,725621;-603233,8571;61381,84096;29073,57598;-216377,2387;0;0
2023_45;1508154,792;362930,1917;-622081,8092;287772,525;0;248897,7162;-132763,6239;0;2118,839969;18886,72715;1596,940874;-525817,0931;55094,12036;47238,24971;-224826,0746;0;0
2023_46;1173910,395;310606,6416;-538568,6637;249139,6822;0;202157,7753;-114940,3928;0;1861,402255;22832,56596;898,6607466;-515800,9917;393765,926;32124,17193;-191853,4479;0;0
2023_47;1095686,333;283514,1679;-500360,826;231464,8913;0;239556,8922;-106786,1422;633137,9686;1795,995048;27295,37501;542,6894126;-449951,2971;37147,25432;22187,85445;-175151,2583;0;0
2023_48;1271424,391;328987,2452;-580614,1223;268589,7411;0;246311,1211;-123913,6618;0;2149,821244;38668,9124;409,3256874;-534208,6241;15820,85406;67390,1888;-146660,5988;0;0
2023_49;1425046,925;360420,4285;-647750,5767;299646,7929;0;239565,7336;-138241,8078;0;2444,726209;30193,10015;296,8264307;-590047,46;65,71456997;209614,865;-193594,2279;0;0
2023_50;1625060,992;411007,644;-738666,339;341704,0563;0;351280,0643;-157644,8926;0;2666,763806;48572,59599;220,0170953;-665644,5221;81647,90892;280047,9982;-220305,3752;0;0
2023_51;1707853,021;428624,5909;-775093,7604;358555,2339;0;368272,5109;-165419,1699;0;2915,609792;102266,9521;150,0637225;-715107,9111;165746,6595;303340,8938;-216459,8396;0;0
2023_52;1838251,842;405607,1429;-728960,5136;337214,1808;0;309773,0928;-155573,4921;0;2793,981944;108887,4237;55646,61606;-672087,7244;75323,91124;296816,0908;-174636,5924;0;0
